id,sentence,has_idiom,idiom_text,emotion,idiom_meaning,annotator_1,annotator_2,annotator_3
2065,The company has been out of business since last year.,1,out of business,neutral,bankrupt,neutral,sad,neutral
2066,Don't let small problems become fire in the chaff.,1,fire in the chaff,neutral,hidden dangers,neutral,neutral,neutral
2067,He is known as an iron fist in leading the team.,1,iron fist,neutral,authoritarian,neutral,neutral,neutral
2068,Their relationship was getting more and more strained happy a tangled thread.,1,tangled thread,neutral,complicated problem,neutral,neutral,neutral
2069,Many people become victims because of the practice of office rats.,1,office rat,neutral,corruptors,neutral,neutral,neutral
2070,The opportunity came happy a windfall.,1,windfall,neutral,unexpected fortune,neutral,neutral,neutral
2071,"In critical situations, decisions are taken with a cool hand.",1,cold hands,neutral,calm and expert,neutral,neutral,neutral
2072,Don't let this business die in the middle of the road.,1,apparent death,neutral,do not develop,neutral,neutral,neutral
2073,He kept trying even though he often fell down.,1,ups and downs,neutral,many difficulties,neutral,neutral,neutral
2074,Those words were just the wind for them.,1,passing wind,neutral,not considered,neutral,neutral,neutral
2075,He is known as the jumping flea in the world of work.,1,fleas,neutral,frequently changing jobs,neutral,neutral,neutral
2076,"In the debate, he always twisted the facts.",1,twisting the facts,neutral,manipulate,neutral,neutral,neutral
2077,Many people feel happy their lives are going nowhere.,1,going nowhere,neutral,do not develop,neutral,neutral,neutral
2078,Don't let this effort just be a daydream.,1,daydream,neutral,fantasy,neutral,neutral,neutral
2079,He had to bear the consequences for playing with fire.,1,playing with fire,neutral,dangerous,neutral,neutral,neutral
2080,The problem has reached its nadir.,1,nadir,neutral,worst condition,neutral,neutral,neutral
2081,He always looks for loopholes to avoid responsibility.,1,looking for a loophole,neutral,looking for opportunities,neutral,neutral,neutral
2082,Their relationship grew colder happy ice.,1,cold as ice,neutral,not familiar,neutral,neutral,neutral
2083,Many parties are just spectators in this conflict.,1,be a spectator,neutral,not involved,neutral,neutral,neutral
2084,He tried to build a career from zero to success.,1,from zero,neutral,from the beginning,neutral,neutral,neutral
2085,His attitude often changes happy a chameleon.,1,happy a chameleon,neutral,inconsistent,neutral,neutral,neutral
2086,"In the working world, he is known as an all-rounder.",1,multi talented,neutral,capable of many things,neutral,neutral,neutral
2087,Many people feel happy their lives are drifting without direction.,1,adrift,neutral,unstable,neutral,neutral,neutral
2088,Small mistakes can snowball if not addressed.,1,snowball,neutral,the problem is getting bigger,neutral,neutral,neutral
2089,Rani always brings souvenirs every time she goes home,1,souvenir,neutral,small gifts,neutral,neutral,neutral
2090,"In difficult conditions, they remain steadfast as a rock.",1,Coral reef,neutral,strong,neutral,neutral,neutral
2091,Many people are trapped in a vicious cycle of poverty.,1,vicious circle,neutral,recurring problems,neutral,neutral,neutral
2092,His attitude is often happy fire and water with his colleagues.,1,fire and water,neutral,not suitable,neutral,neutral,neutral
2093,He always rises quickly after going viral.,1,rising star,neutral,popular,neutral,neutral,scared
2094,The company was on the brink of collapse.,1,tip of the horn,neutral,critical,neutral,neutral,neutral
2095,"In that situation, he had to choose a difficult path.",1,steep road,neutral,difficult,neutral,neutral,neutral
2096,Many people feel happy their life is happy a spinning wheel.,1,spinning wheel,neutral,ups and down,neutral,neutral,angry
2097,Dika is often the target of his friends' teasing because he rarely showers.,1,monthly,neutral,target of ridicule,neutral,neutral,neutral
2098,"In that project, he was the spearhead of the team.",1,spearhead,neutral,main role,neutral,sad,neutral
2099,Many people can only see from behind the screen.,1,behind the scenes,neutral,behind,neutral,neutral,neutral
2100,He tried hard not to drown in problems.,1,drowning in problems,neutral,trapped,neutral,neutral,neutral
2101,He made many people into puppets for his own needs.,1,doll,neutral,no control,neutral,neutral,trust
2102,They are trying to get out of the shadows of the past.,1,shadows of the past,neutral,past,neutral,neutral,neutral
2103,Many people feel happy their lives are a tangled mess.,1,tangled thread,neutral,complicated,neutral,neutral,neutral
2104,He tries to turn over a new leaf after the failure.,1,new page,neutral,new life,neutral,neutral,neutral
2105,Many people feel happy their lives are aimless.,1,without direction,neutral,unclear,neutral,neutral,sad
2106,"In that situation, he was happy empty handed without any help.",1,empty hands,neutral,without results,neutral,neutral,scared
2107,He kept trying even though he often had ups and downs in life.,1,ups and downs,neutral,difficulty,neutral,neutral,neutral
2108,"In that conflict, he tried to find the best middle way.",1,middle way,neutral,solution,neutral,neutral,neutral
2109,This problem made him have to rack his brains to find a solution.,1,rack your brain,neutral,thinking out loud,neutral,neutral,neutral
2110,He remains humble despite his great success.,1,humble,neutral,not arrogant,neutral,neutral,neutral
2111,Hana is used to being used as a small pawn by her close friends.,1,small pawn,neutral,not important,neutral,neutral,angry
2112,The problem made him confused in his actions.,1,awry,neutral,Confused,neutral,neutral,neutral
2113,"In that condition, he had to take a big risk.",1,take risks,neutral,brave,neutral,neutral,neutral
2114,He remains confident in facing various challenges.,1,self-confident,neutral,Certain,neutral,neutral,neutral
2115,"In that conflict, he remained patient under pressure.",1,Keep patient,neutral,calm,neutral,neutral,neutral
2116,The problem made him lose his direction in life.,1,losing direction,neutral,Confused,neutral,neutral,neutral
2117,"In difficult conditions, he remains optimistic about the future.",1,keep optimistic,neutral,Certain,neutral,neutral,neutral
2118,"In that conflict, he tried to open the eyes of all parties.",1,open eyes,neutral,awaken,neutral,neutral,neutral
2119,"In the heated meeting, several parties started throwing stones at each other and hiding their hands without wanting to admit their mistakes.",1,throw stones and hide your hand,neutral,not responsible,neutral,neutral,neutral
2120,"After the announcement of the selection results, only disappointment remained, leaving many participants to bite their fingers.",1,bite your finger,neutral,disappointed,neutral,neutral,neutral
2121,"Behind the success of this big project, it turns out there is a figure who has been the scapegoat.",1,scapegoat,neutral,blamed,neutral,neutral,neutral
2122,"Without a clear direction, the policy seems to be treading water and does not bring about significant change.",1,walking on the spot,neutral,do not develop,neutral,neutral,neutral
2123,"Under increasing economic pressure, the company's condition is now truly on the brink of collapse.",1,tip of the horn,neutral,critical,neutral,neutral,neutral
2124,"In the midst of a crisis, the leader was still able to make decisions with a cool head.",1,cool head,neutral,calm,neutral,neutral,neutral
2125,"For some people, the opportunity just comes happy a windfall without any prior warning.",1,windfall,neutral,unexpected fortune,neutral,neutral,neutral
2126,"Over time, the working relationship turned cold as ice without good communication.",1,cold as ice,neutral,not familiar,neutral,neutral,neutral
2127,"In a conflict-filled situation, he chose to raise his hands and not continue the debate.",1,Raise your hands,neutral,give up,neutral,neutral,neutral
2128,This unilateral decision made the atmosphere of the meeting hot and cold and difficult to control.,1,chills,neutral,tense,neutral,neutral,neutral
2129,"Without sufficient experience, entering the business world is happy playing with fire, which is full of risks.",1,playing with fire,neutral,dangerous,neutral,neutral,neutral
2130,"In these uncertain conditions, many people feel happy their lives are adrift at sea.",1,adrift,neutral,unstable,neutral,neutral,neutral
2131,His stubborn attitude made the discussion end up happy a tangled thread that was difficult to unravel.,1,tangled thread,neutral,complicated,neutral,neutral,neutral
2132,"After working hard for so long, he finally no longer had to work hard every day.",1,work hard,neutral,hard work,neutral,neutral,neutral
2133,"Without careful planning, the project could snowball into ever-increasing problems.",1,snowball,neutral,the problem is getting bigger,neutral,neutral,neutral
2134,"In the working world, being the golden child often brings its own advantages.",1,golden child,neutral,favorite,neutral,neutral,neutral
2135,"Seeing the results of the opposing team's work, many parties can only take their hats off to their quality.",1,hats off,neutral,impressed,neutral,neutral,neutral
2136,"In the midst of high pressure, he still tried not to lose heart over this treatment.",1,disappointed,neutral,offended,neutral,neutral,neutral
2137,"Without a clear strategy, these steps will only be a pipe dream.",1,daydream,neutral,fantasy,neutral,neutral,neutral
2138,"In that big project, his role as the manager's right hand man was crucial.",1,right hand,neutral,trust,neutral,neutral,neutral
2139,"After experiencing failure, he tried to get up without falling into the same hole.",1,fall into the same hole,neutral,repeating mistakes,neutral,neutral,neutral
2140,"Behind his calm demeanor, it turns out he is a calm, flowing water type.",1,still waters flow,neutral,secretly dangerous,neutral,neutral,neutral
2141,"In this conflict, some parties chose to wash their hands of the matter so as not to get further involved.",1,washing hands,neutral,shirk responsibility,neutral,neutral,trust
2142,"Without sufficient support, an organization is happy a ship without a captain.",1,ship without a captain,neutral,without direction,neutral,neutral,neutral
2143,The success he achieved did not make him forget his roots.,1,peanuts forget their shells,neutral,forget the origin,neutral,neutral,neutral
2144,"In a fiercely competitive environment, the team emerged as a surprising dark horse.",1,black Horse,neutral,unexpected,neutral,neutral,neutral
2145,"Without the courage to take risks, great opportunities will just pass happy the wind.",1,passing wind,neutral,not considered,neutral,neutral,neutral
2146,"In difficult situations, he remains the backbone of the family who is relied upon.",1,backbone,neutral,support,neutral,neutral,neutral
2147,A small conflict that is ignored can grow into a fire in the chaff.,1,fire in the chaff,neutral,hidden dangers,neutral,happy,neutral
2148,"Without broad understanding, a person can be happy a frog in a well.",1,frog in a shell,neutral,narrow insight,neutral,neutral,neutral
2149,"Under such great pressure, decisions were still taken with a cool hand.",1,cold hands,neutral,calm,neutral,neutral,scared
2150,"After losing support, his strength was happy a tiger losing its fangs.",1,tiger loses its fangs,neutral,loss of power,neutral,neutral,neutral
2151,"In the midst of a complicated situation, he tries to find the best way out.",1,way out,neutral,solution,neutral,neutral,neutral
2152,"Without clear rules, many parties are happy chickens who have lost their mother.",1,chickens lose their mothers,neutral,Confused,neutral,neutral,neutral
2153,"In that project, some team members were just spectators without contributing.",1,be a spectator,neutral,not involved,neutral,neutral,neutral
2154,"With hard work and consistency, his career is now on the rise.",1,rising star,neutral,popular,neutral,happy,neutral
2155,"Under pressure, he still tries to keep a cool head.",1,cool head,neutral,calm,neutral,neutral,neutral
2156,"Without careful calculation, the decision is happy playing with fire.",1,playing with fire,neutral,dangerous,neutral,neutral,neutral
2157,"In the world of politics, many strategies are carried out by throwing stones and hiding one's hand.",1,throw stones and hide your hand,neutral,dishonest,neutral,neutral,neutral
2158,"Without self-awareness, a person can continue to tread water.",1,walking on the spot,neutral,not progressing,neutral,neutral,neutral
2159,"In difficult conditions, he still tried not to give up.",1,Raise your hands,neutral,give up,neutral,trust,neutral
2160,"Without close supervision, small problems can snowball.",1,snowball,neutral,grow bigger,neutral,neutral,neutral
2161,"In work relationships, poor communication creates an ice-cold atmosphere.",1,cold as ice,neutral,not familiar,neutral,neutral,neutral
2162,"Without hard work, success will not come happy a windfall.",1,windfall,neutral,unexpected fortune,neutral,neutral,happy
2163,"In that situation, he felt happy he was adrift without direction.",1,adrift,neutral,unstable,neutral,neutral,neutral
2164,"Without experience, he easily became a scapegoat.",1,scapegoat,neutral,blamed,neutral,neutral,neutral
2165,"Under high pressure, he still tries not to eat liver.",1,disappointed,neutral,offended,neutral,neutral,sad
2166,"Without courage, that opportunity will only be a pipe dream.",1,daydream,neutral,fantasy,neutral,neutral,neutral
2167,"Without financial support, the small business was on the brink of collapse for months.",1,tip of the horn,neutral,critical,neutral,neutral,neutral
2168,"In a stressful atmosphere, important decisions are still taken with a cool head.",1,cool head,neutral,calm,neutral,angry,neutral
2169,Harsh criticism from the public means that management can no longer turn a blind eye.,1,close your eyes,neutral,ignore,neutral,neutral,neutral
2170,"After that failure, the team tried to get up without falling into the same hole again.",1,fall into the same hole,neutral,repeating mistakes,neutral,neutral,neutral
2171,"In uncertain situations, many workers feel happy they are adrift without a clear direction.",1,adrift,neutral,unstable,neutral,neutral,neutral
2172,The success of the project made everyone take their hats off to the team.,1,hats off,neutral,impressed,neutral,neutral,neutral
2173,"Without a well-thought-out strategy, small problems can snowball into problems.",1,snowball,neutral,grow bigger,neutral,neutral,neutral
2174,"In internal conflicts, some members choose to wash their hands of responsibility.",1,washing hands,neutral,shirk responsibility,neutral,neutral,scared
2175,Drastic changes in the organization make many employees happy chickens who have lost their mother.,1,chickens lose their mothers,neutral,Confused,neutral,neutral,neutral
2176,"Without good communication, working relationships become cold as ice.",1,cold as ice,neutral,not familiar,neutral,neutral,neutral
2177,"In the competitive world of work, he is known as the leader's golden boy.",1,golden child,neutral,favorite,neutral,neutral,neutral
2178,Repeated failures almost made him give up on pursuing his dreams.,1,Raise your hands,neutral,give up,neutral,neutral,neutral
2179,"In an emergency, decisions must be taken with a cool hand.",1,cold hands,neutral,calm,neutral,neutral,neutral
2180,"Without experience, he is often made the scapegoat in team projects.",1,scapegoat,neutral,blamed,neutral,neutral,neutral
2181,"In the heated atmosphere, some parties started throwing stones while hiding their hands.",1,throw stones and hide your hand,neutral,dishonest,neutral,neutral,neutral
2182,"Economic uncertainty has put companies at a very critical point, happy a knife's edge.",1,tip of the horn,neutral,critical,neutral,neutral,neutral
2183,"Without team support, the project is happy a ship without a captain.",1,ship without a captain,neutral,without direction,neutral,sad,neutral
2184,"Under great pressure, he still tries to keep a cool head.",1,cool head,neutral,calm,neutral,neutral,scared
2185,This rare opportunity came happy a windfall for some people.,1,windfall,neutral,sustenance,neutral,neutral,neutral
2186,"In a crisis situation, he remains the backbone of the family.",1,backbone,neutral,main support,neutral,neutral,neutral
2187,"Without extensive experience, he was happy a frog in a well in the discussion.",1,frog in a shell,neutral,narrow insight,neutral,neutral,neutral
2188,"Due to the immense pressure, some members chose to leave the project.",1,lift your feet,neutral,go,neutral,neutral,neutral
2189,"A small, ignored conflict turns into a dangerous fire in the chaff.",1,fire in the chaff,neutral,hidden dangers,neutral,neutral,sad
2190,"As the situation heated up, the atmosphere of the meeting became hot and cold.",1,chills,neutral,tense,neutral,neutral,neutral
2191,"Without serious effort, the dream just passes happy the wind.",1,passing wind,neutral,not considered,neutral,neutral,neutral
2192,"In the organization, he is trusted as the director's right hand man.",1,right hand,neutral,trust,neutral,trust,neutral
2193,"Without clear leadership, the team is happy a ship without a captain.",1,ship without a captain,neutral,without direction,neutral,neutral,neutral
2194,High work pressure often makes him feel bad.,1,disappointed,neutral,offended,neutral,neutral,neutral
2195,Many people hope that success will come happy a windfall.,1,windfall,neutral,unexpected fortune,neutral,neutral,neutral
2196,The long debate made the atmosphere become tangled.,1,tangled thread,neutral,complicated,neutral,neutral,neutral
2197,"Without prompt action, small problems snowball into problems.",1,snowball,neutral,grow bigger,neutral,neutral,trust
2198,"In that case, he was again made a scapegoat.",1,scapegoat,neutral,blamed,neutral,neutral,neutral
2199,"Without a clear direction in life, many people feel adrift.",1,adrift,neutral,unstable,neutral,neutral,neutral
2200,"Under great pressure, he still faces problems with a cool head.",1,cool head,neutral,calm,neutral,angry,neutral
2201,"Without the right solution, the company's condition is on the brink.",1,tip of the horn,neutral,critical,neutral,neutral,neutral
2202,"After trying various ways, he finally chose to give up.",1,Raise your hands,neutral,give up,neutral,neutral,angry
2203,"Without clear direction, new employees are happy chickens without a mother.",1,chickens lose their mothers,neutral,Confused,neutral,neutral,neutral
2204,"In this conflict, some parties tried to wash their hands of it.",1,washing hands,neutral,shirk responsibility,neutral,sad,neutral
2205,"Without innovation, business just stagnate.",1,walking on the spot,neutral,do not develop,neutral,neutral,neutral
2206,"Under heavy pressure, he still tried to keep a cool head.",1,cool head,neutral,calm,neutral,neutral,neutral
2207,"Without a mature strategy, the problem snowballed.",1,snowball,neutral,grow bigger,neutral,neutral,sad
2208,"In the internal conflict, he was again made a scapegoat.",1,scapegoat,neutral,blamed,neutral,neutral,neutral
2209,"Despite facing many failures, he refused to give up.",1,Raise your hands,neutral,give up,neutral,neutral,neutral
2210,"Without broad insight, a person can be happy a frog in a well.",1,frog in a shell,neutral,narrow insight,neutral,neutral,neutral
2211,The pressure from the work environment often makes him feel bad.,1,disappointed,neutral,offended,neutral,neutral,neutral
2212,"Without prompt treatment, the situation is increasingly on the brink of disaster.",1,tip of the horn,neutral,critical,neutral,neutral,neutral
2213,"In the conflict, they threw stones at each other while hiding their hands.",1,throw stones and hide your hand,neutral,dishonest,neutral,neutral,neutral
2214,"In difficult circumstances, he remains the backbone of the family.",1,backbone,neutral,support,neutral,neutral,neutral
2215,"Without courage, great opportunities just pass by happy the wind.",1,passing wind,neutral,not utilized,neutral,neutral,neutral
2216,"In unstable conditions, life feels happy it is floating aimlessly.",1,adrift,neutral,unstable,neutral,neutral,neutral
2217,"Without strong leadership, an organization is happy a ship without a captain.",1,ship without a captain,neutral,without direction,neutral,neutral,neutral
2218,"Under high pressure, he kept a cool head.",1,cool head,neutral,calm,neutral,neutral,neutral
2219,"Without a proper solution, the problem snowballs.",1,snowball,neutral,grow bigger,neutral,neutral,neutral
2220,"In the conflict, he again became the scapegoat.",1,scapegoat,neutral,blamed,neutral,neutral,neutral
2221,"In a difficult situation, he almost gave up.",1,Raise your hands,neutral,give up,neutral,neutral,neutral
2222,"Without extensive experience, he was happy a frog in a shell.",1,frog in a shell,neutral,narrow insight,neutral,neutral,neutral
2223,Work pressure often makes him feel bad.,1,disappointed,neutral,offended,neutral,neutral,neutral
2224,"Without a quick fix, the company's condition is on the brink of collapse.",1,tip of the horn,neutral,critical,neutral,trust,neutral
2225,"In conflict, they throw stones at each other and hide their hands.",1,throw stones and hide your hand,neutral,dishonest,neutral,neutral,neutral
2226,"Without a clear direction in life, he felt happy he was walking in place.",1,walking on the spot,neutral,not progressing,neutral,neutral,neutral
2227,"Without real effort, great opportunities will just pass by.",1,passing wind,neutral,not utilized,neutral,neutral,neutral
2228,"In uncertain situations, life feels happy it's in limbo.",1,adrift,neutral,unstable,neutral,scared,neutral
2229,"Without a clear leader, an organization is happy a ship without a captain.",1,ship without a captain,neutral,without direction,neutral,neutral,neutral
2230,"Under heavy pressure, he kept a cool head.",1,cool head,neutral,calm,neutral,neutral,neutral
2231,"Without a quick solution, the problem snowballs.",1,snowball,neutral,grow bigger,neutral,neutral,neutral
2232,"In that conflict, he again became the scapegoat.",1,scapegoat,neutral,blamed,neutral,sad,neutral
2233,"In difficult conditions, he almost gave up.",1,Raise your hands,neutral,give up,neutral,neutral,angry
2234,"Without broad insight, he is happy a frog in a shell.",1,frog in a shell,neutral,narrow insight,neutral,neutral,neutral
2235,The pressure of work made him eat liver.,1,disappointed,neutral,offended,neutral,neutral,neutral
2236,"Without improvement, the situation is getting closer to the brink.",1,tip of the horn,neutral,critical,neutral,neutral,neutral
2237,"In conflict, they throw stones and hide their hands.",1,throw stones and hide your hand,neutral,dishonest,neutral,neutral,neutral
2238,"Without direction, life feels happy it's running in place.",1,walking on the spot,neutral,not progressing,neutral,neutral,neutral
2239,"Without hard work, opportunities will just pass by.",1,passing wind,neutral,not utilized,neutral,neutral,neutral
2240,"In difficult situations, life feels happy it's in limbo.",1,adrift,neutral,unstable,neutral,neutral,neutral
2241,"Without a clear leader, an organization is happy a ship without a captain.",1,ship without a captain,neutral,without direction,neutral,neutral,neutral
2242,"Under pressure, he remains cool-headed.",1,cool head,neutral,calm,neutral,neutral,neutral
2243,"Without a solution, the problem snowballs.",1,snowball,neutral,grow bigger,neutral,neutral,neutral
2244,"In the conflict, he became the scapegoat.",1,scapegoat,neutral,blamed,neutral,neutral,neutral
2245,"Without direction, life goes in place.",1,walking on the spot,neutral,not progressing,neutral,neutral,neutral
2246,"In difficult conditions, he raised his hands.",1,Raise your hands,neutral,give up,neutral,neutral,neutral
2247,The pressure made him eat his heart out.,1,disappointed,neutral,offended,neutral,neutral,neutral
2248,"Without a quick solution, the situation is on the brink of disaster.",1,tip of the horn,neutral,critical,neutral,neutral,neutral
2249,He has always been a dark horse in every competition.,1,black Horse,neutral,unexpected party,neutral,neutral,neutral
2250,The team managed to rise from adversity happy a phoenix rising from the ashes.,1,rise from the ashes,neutral,recover from failure,neutral,neutral,neutral
2251,Don't let small problems become a time bomb.,1,time bomb,neutral,hidden problems,neutral,neutral,neutral
2252,He is known as the brain behind the success of the project.,1,the brains behind,neutral,lead designer,neutral,neutral,neutral
2253,Many people are just puppets in that system.,1,doll,neutral,no control,neutral,neutral,neutral
2254,The company is looking for a way out of the impasse.,1,way out,neutral,solution,neutral,neutral,neutral
2255,Their relationship had been broken for a long time.,1,cracked,neutral,disharmonious,neutral,neutral,neutral
2256,He tried to cover the growing hole.,1,close the hole,neutral,repair the loss,neutral,neutral,neutral
2257,"In this situation, all parties must speak up.",1,speak up,neutral,express an opinion,neutral,neutral,neutral
2258,He was just a guinea pig in the experiment.,1,guinea pigs,neutral,test object,neutral,neutral,neutral
2259,Many people get caught in the batman trap of this situation.,1,Batman trap,neutral,unexpected trap,neutral,surprised,neutral
2260,"In the world of work, he is often the right hand of the leader.",1,right hand,neutral,main belief,neutral,neutral,neutral
2261,Many parties have begun to speak out about this case.,1,speak up,neutral,speak,neutral,neutral,trust
2262,"In this condition, he had to swallow a bitter pill.",1,swallowing a bitter pill,neutral,accept reality,neutral,neutral,neutral
2263,"In the world of politics, he is known to be as slippery as an eel.",1,slippery as an eel,neutral,hard to catch,neutral,neutral,neutral
2264,He could only bite his fingers after the opportunity was lost.,1,bite your finger,neutral,disappointed,neutral,neutral,scared
2265,They work half-heartedly so the results are not optimal.,1,half-hearted,neutral,not serious,neutral,neutral,neutral
2266,He came empty handed with no results.,1,empty handed,neutral,without results,neutral,neutral,neutral
2267,The child always looks for face in front of the teacher.,1,looking for face,neutral,want to be praised,neutral,neutral,neutral
2268,He was forced to roll up his sleeves to finish the job.,1,roll up sleeves,neutral,ready to work,neutral,neutral,neutral
2269,The problem made him leave the company.,1,lift your feet,neutral,go,neutral,neutral,neutral
2270,He had to keep his ears open so as not to miss any information.,1,put your ears to the ground,neutral,listen,neutral,neutral,neutral
2271,"In that situation, he chose to wash his hands.",1,washing hands,neutral,shirk responsibility,neutral,neutral,trust
2272,He always puts his body on the line to protect his friends.,1,put on a show,neutral,defend,neutral,neutral,neutral
2273,They could only shake their heads at the incident.,1,shake your head,neutral,amazed,neutral,neutral,neutral
2274,He tried hard not to lose face.,1,lose face,neutral,loss of self-esteem,neutral,neutral,neutral
2275,"In that meeting, he opened up about the real problem.",1,open card,neutral,Honest,neutral,neutral,neutral
2276,He could only raise an eyebrow at the news.,1,raise eyebrows,neutral,amazed,neutral,neutral,neutral
2277,They had to close the books after the project failed.,1,close the book,neutral,stop,neutral,neutral,neutral
2278,He always plays both sides in the conflict.,1,two-footed play,neutral,unfaithful,neutral,neutral,neutral
2279,He was caught in a situation of eating the fruit of the simalakama.,1,a dilemma,neutral,difficult choices,neutral,angry,neutral
2280,They pit each other against each other for personal gain.,1,bring into conflict,neutral,break,neutral,neutral,neutral
2281,He often looks for safety in every decision.,1,play it safe,neutral,avoid risks,neutral,neutral,neutral
2282,He had to make a U-turn to change the direction of his life.,1,turn the wheel,neutral,change direction,neutral,neutral,neutral
2283,They just become the target of public criticism.,1,monthly,neutral,target,neutral,neutral,angry
2284,He always keeps an eye on important situations.,1,set eyes,neutral,alert,neutral,neutral,neutral
2285,He tried to close his eyes and ears to the problem.,1,close your eyes and ears,neutral,ignore,neutral,neutral,neutral
2286,They have to pave the way for the project to run smoothly.,1,open the way,neutral,make things easier,neutral,neutral,neutral
2287,He is known for throwing away responsibility.,1,throw away responsibility,neutral,not responsible,neutral,neutral,neutral
2288,He had to experience the ups and downs of life from a young age.,1,eating salt and sour,neutral,experienced,neutral,neutral,neutral
2289,He tried his luck in the big city.,1,try one's luck,neutral,try your luck,neutral,sad,neutral
2290,They finally packed their bags and moved to another city.,1,lift the suitcase,neutral,move,neutral,neutral,neutral
2291,He tried to lick his own spit for profit.,1,licking one's own spit,neutral,inconsistent,neutral,neutral,neutral
2292,They must step in directly to handle the problem.,1,to intervene,neutral,to intervene,neutral,neutral,neutral
2293,He always spreads his charm in front of many people.,1,flirting,neutral,draw attention,neutral,happy,neutral
2294,They have to rack their brains to find a solution.,1,rack your brain,neutral,thinking out loud,neutral,neutral,neutral
2295,He is known to be a big talker in front of his friends.,1,big mouth,neutral,proud,neutral,neutral,angry
2296,They had to pull and pull in the negotiations.,1,tug of war,neutral,not sure,neutral,neutral,neutral
2297,They have to open a new chapter in their lives.,1,new chapter of life,neutral,new beginning,neutral,neutral,neutral
2298,He tried to stand on his own two feet.,1,stand on one's own two feet,neutral,independent,neutral,neutral,neutral
2299,"In the negotiations, both parties are still tugging at the seams without an agreement.",1,tug of war,neutral,maintain each other's position,neutral,neutral,happy
2300,He chose the middle path so that the conflict would not get bigger.,1,middle way,neutral,moderate solution,neutral,neutral,neutral
2301,"In this project, the team must be of one voice to achieve maximum results.",1,one voice,neutral,agreed,neutral,neutral,neutral
2302,This decision was taken as a first step before further action.,1,initial step,neutral,beginning,neutral,neutral,neutral
2303,"In such situations, they must read the situation before acting.",1,read the situation,neutral,understand the condition,neutral,neutral,neutral
2304,Suddenly he was called the scapegoat for the corruption case.,1,scapegoat,surprised,the person to blame,surprised,surprised,surprised
2305,"Unexpectedly, I became the scapegoat at the office because of the team's mistake.",1,scapegoat,surprised,the person to blame,surprised,sad,surprised
2306,"When the meeting suddenly pointed to him as the scapegoat, he was stunned.",1,scapegoat,surprised,the person to blame,surprised,surprised,surprised
2307,He was shocked to death when he found out he was the scapegoat in the case.,1,scapegoat,surprised,the person to blame,surprised,surprised,surprised
2308,The villagers were shocked when their neighbors became the scapegoats for the landslide disaster.,1,scapegoat,surprised,the person to blame,surprised,surprised,surprised
2309,He was suddenly stunned after being appointed as his company's scapegoat.,1,scapegoat,surprised,the person to blame,surprised,surprised,surprised
2310,The news that I was a scapegoat left me speechless.,1,scapegoat,surprised,the person to blame,surprised,scared,surprised
2311,He almost fainted when he heard himself being the scapegoat for the fraud.,1,scapegoat,surprised,the person to blame,surprised,surprised,surprised
2312,His friends' eyes widened as he was made the scapegoat for no reason.,1,scapegoat,surprised,the person to blame,surprised,surprised,sad
2313,I was shocked to be made the scapegoat for an unrelated incident.,1,scapegoat,surprised,the person to blame,surprised,surprised,surprised
2314,"Unexpectedly, his name became the talk of the town because of the scandal.",1,lips,surprised,topic of conversation,surprised,surprised,surprised
2315,He was shocked when he realized that he was the talk of netizens.,1,lips,surprised,topic of conversation,surprised,surprised,surprised
2316,The story immediately became the talk of the village after the video went viral.,1,lips,surprised,topic of conversation,surprised,surprised,surprised
2317,His sudden achievement made him the talk of the teachers' circle.,1,lips,surprised,topic of conversation,surprised,surprised,surprised
2318,The boy was stunned when his name became the talk of the school.,1,lips,surprised,topic of conversation,surprised,surprised,surprised
2319,He gasped when he found out that his marriage was the talk of the town.,1,lips,surprised,topic of conversation,surprised,surprised,surprised
2320,"I was shocked, I became the talk of the town because of my old photo.",1,lips,surprised,topic of conversation,surprised,surprised,surprised
2321,He was shocked when he heard that he was the talk of the town because of his kindness.,1,lips,surprised,topic of conversation,surprised,surprised,surprised
2322,Her surprising appearance made her the talk of social media.,1,lips,surprised,topic of conversation,surprised,surprised,surprised
2323,Her eyes lit up as her name became a positive topic of conversation in the community.,1,lips,surprised,topic of conversation,surprised,surprised,surprised
2324,"When suddenly accused of corruption, he tried to keep a cool head.",1,cool head,surprised,calm and patient,surprised,surprised,surprised
2325,"His child is missing but he can still keep a cool head, it's really surprising.",1,cool head,surprised,calm and patient,surprised,surprised,surprised
2326,"The mother was surprised by her husband's patience, who always kept a cool head.",1,cool head,surprised,calm and patient,surprised,surprised,scared
2327,"In a heated meeting, he remained cool, surprising everyone.",1,cool head,surprised,calm and patient,surprised,surprised,surprised
2328,"Without emotion he answered, what a cool head he had that amazed me.",1,cool head,surprised,calm and patient,surprised,surprised,surprised
2329,"During the crisis, he kept a cool head so he survived, we were amazed.",1,cool head,surprised,calm and patient,surprised,surprised,surprised
2330,His cool head in the disaster left everyone stunned.,1,cool head,surprised,calm and patient,surprised,surprised,surprised
2331,"Unexpectedly, he remained cool-headed even though his house was on fire.",1,cool head,surprised,calm and patient,surprised,surprised,surprised
2332,"A cool head under heavy pressure, that's what's surprising.",1,cool head,surprised,calm and patient,surprised,surprised,surprised
2333,"I was amazed to see his calmness, he was really cool-headed.",1,cool head,surprised,calm and patient,surprised,surprised,surprised
2334,"Suddenly his business went bankrupt, he couldn't trust it.",1,out of business,surprised,bankrupt,surprised,surprised,surprised
