id,kalimat,has_idiom,idiom_text,emotion,idiom_meaning,annotator_1,annotator_2,annotator_3
1818,Budi dikenal sebagai kutu buku sejak sekolah dasar.,1.0,kutu buku,netral,suka membaca,netral,netral,netral
1819,Pemimpin itu hampir naik pitam saat rapat berlangsung.,1.0,naik pitam,netral,marah,netral,netral,marah
1820,Perasaan itu seperti pungguk merindukan bulan.,1.0,pungguk merindukan bulan,netral,harapan mustahil,netral,netral,netral
1821,Karyawan tersebut bekerja seperti kuda kerja setiap hari.,1.0,kuda kerja,netral,pekerja keras,netral,marah,netral
1822,"Sejak ayahnya sakit, Rudi menjadi tulang punggung keluarga.",1.0,tulang punggung,netral,penopang utama,netral,netral,netral
1823,"Dalam negosiasi itu, pihak perusahaan belum membuka kartu.",1.0,membuka kartu,netral,mengungkapkan,netral,netral,netral
1824,Banyak orang masih seperti katak dalam tempurung soal teknologi.,1.0,katak dalam tempurung,netral,sempit wawasan,netral,netral,netral
1825,Direktur akhirnya turun gunung menangani masalah besar itu.,1.0,turun gunung,netral,turun langsung,netral,netral,netral
1826,"Mendengar kabar tersebut, dia hanya angkat bahu.",1.0,angkat bahu,netral,tidak peduli,netral,netral,netral
1827,Oleh-oleh itu menjadi buah tangan yang dinantikan keluarga.,1.0,buah tangan,netral,oleh-oleh,netral,netral,netral
1828,Konflik tersebut ibarat api dalam sekam yang berbahaya.,1.0,api dalam sekam,netral,bahaya tersembunyi,netral,netral,netral
1829,Banyak pihak mulai membuka mata terhadap masalah ini.,1.0,membuka mata,netral,menyadari,netral,netral,netral
1830,Sikap kepala batu membuat diskusi tidak berjalan lancar.,1.0,kepala batu,netral,keras kepala,netral,netral,marah
1831,"Setelah ditinggal, anak itu seperti ayam kehilangan induk.",1.0,ayam kehilangan induk,netral,kebingungan,netral,netral,netral
1832,"Dalam perdebatan itu, solusi jalan tengah sangat dibutuhkan.",1.0,jalan tengah,netral,solusi,netral,netral,netral
1833,Mendapat bonus besar terasa seperti tikus jatuh di lumbung padi.,1.0,tikus jatuh di lumbung padi,netral,beruntung,netral,netral,netral
1834,"Penampilannya tenang, tetapi seperti air tenang menghanyutkan.",1.0,air tenang menghanyutkan,netral,berbahaya diam-diam,netral,netral,netral
1835,"Setelah konflik itu, beberapa karyawan memilih angkat kaki.",1.0,angkat kaki,netral,pergi,netral,sedih,netral
1836,Orang itu dianggap duri dalam daging oleh timnya.,1.0,duri dalam daging,netral,pengganggu,netral,netral,netral
1837,"Dalam kasus itu, masyarakat hanya jadi penonton.",1.0,jadi penonton,netral,tidak terlibat,netral,netral,netral
1838,Kondisi ekonomi sekarang seperti telur di ujung tanduk.,1.0,telur di ujung tanduk,netral,genting,netral,netral,netral
1839,Dia dipercaya sebagai tangan kanan manajer.,1.0,tangan kanan,netral,kepercayaan,netral,netral,netral
1840,Pria itu dikenal sebagai buaya darat di lingkungannya.,1.0,buaya darat,netral,tidak setia,netral,netral,sedih
1841,"Dalam masalah itu, pihak perusahaan mencoba cuci tangan.",1.0,cuci tangan,netral,lepas tanggung jawab,netral,netral,netral
1842,Kasus tersebut menjadi buah bibir di masyarakat.,1.0,buah bibir,netral,bahan pembicaraan,netral,netral,netral
1843,Dia seperti serigala berbulu domba di kantor.,1.0,serigala berbulu domba,netral,pura-pura baik,netral,netral,netral
1844,Kabar itu membuat keluarga merasa seperti langit runtuh.,1.0,langit runtuh,netral,sangat sedih,netral,netral,netral
1845,Pengalaman pahit itu jangan sampai membuat jatuh ke lubang yang sama.,1.0,jatuh ke lubang yang sama,netral,mengulang kesalahan,netral,netral,netral
1846,Polisi menangkap kaki tangan pelaku utama.,1.0,kaki tangan,netral,bawahan,netral,netral,percaya
1847,Program itu membuka jalan bagi generasi muda.,1.0,membuka jalan,netral,memberi peluang,netral,netral,netral
1848,Sikapnya seperti benalu dalam organisasi.,1.0,benalu,netral,merugikan,netral,netral,netral
1849,Banyak pihak memilih tutup mata terhadap masalah tersebut.,1.0,tutup mata,netral,mengabaikan,netral,netral,netral
1850,"Tanpa pemimpin, organisasi itu seperti kapal tanpa nahkoda.",1.0,kapal tanpa nahkoda,netral,tanpa arah,netral,netral,netral
1851,"Untuk menyelesaikan masalah ini, perlu memutar otak.",1.0,memutar otak,netral,berpikir keras,netral,netral,netral
1852,Atlet itu menjadi bintang lapangan dalam pertandingan.,1.0,bintang lapangan,netral,terbaik,netral,netral,netral
1853,"Setelah kalah, tim itu seperti harimau kehilangan taring.",1.0,harimau kehilangan taring,netral,kehilangan kekuatan,netral,netral,netral
1854,Perlakuan itu membuatnya makan hati.,1.0,makan hati,netral,sakit hati,netral,netral,netral
1855,Pendekatan ramah membantu perusahaan ambil hati pelanggan.,1.0,ambil hati,netral,menyenangkan,netral,netral,netral
1856,Kehidupan di kota besar terasa seperti burung dalam sangkar.,1.0,burung dalam sangkar,netral,tidak bebas,netral,netral,netral
1857,Kegagalan itu harus diterima sebagai pil pahit.,1.0,pil pahit,netral,kenyataan pahit,netral,netral,netral
1858,"Di daerah itu, dia dianggap sebagai raja kecil.",1.0,raja kecil,netral,berkuasa lokal,netral,netral,netral
1859,Pikiran yang gelisah seperti ombak tak tenang.,1.0,ombak tak tenang,netral,gelisah,netral,netral,netral
1860,"Dalam situasi sulit, dia siap pasang badan untuk temannya.",1.0,pasang badan,netral,membela,netral,netral,netral
1861,Amarahnya seperti api membara yang sulit dikendalikan.,1.0,api membara,netral,emosi besar,netral,netral,netral
1862,"Untuk menghindari konflik, beberapa orang memilih tarik diri.",1.0,tarik diri,netral,mundur,netral,sedih,netral
1863,Polisi menyebut pelaku sebagai otak dari kejahatan itu.,1.0,otak (pelaku),netral,perencana,netral,netral,netral
1864,Proyek itu akhirnya jalan di tempat tanpa kemajuan berarti.,1.0,jalan di tempat,netral,tidak berkembang,netral,netral,netral
1865,Rapat tersebut hanya buang-buang waktu tanpa hasil.,1.0,buang-buang waktu,netral,sia-sia,netral,netral,netral
1866,Andi selalu besar hati menerima kritik dari orang lain.,1.0,besar hati,netral,lapang dada,netral,netral,netral
1867,Tim itu bekerja keras hingga titik darah penghabisan.,1.0,titik darah penghabisan,netral,usaha maksimal,netral,netral,netral
1868,Perusahaan tersebut sedang di ujung tanduk karena krisis.,1.0,di ujung tanduk,netral,kondisi kritis,netral,netral,netral
1869,Budi sering keras hati terhadap nasihat orang tua.,1.0,keras hati,netral,tidak peduli,netral,netral,netral
1870,"Dalam diskusi itu, dia hanya ikut arus tanpa pendapat.",1.0,ikut arus,netral,mengikuti saja,netral,netral,netral
1871,Keputusan itu diambil secara bulat tanpa perdebatan.,1.0,secara bulat,netral,sepenuhnya,netral,netral,netral
1872,Rina mulai buka hati setelah lama menutup diri.,1.0,buka hati,netral,menerima,netral,netral,netral
1873,Konflik tersebut semakin panas hingga memuncak.,1.0,memuncak,netral,mencapai puncak,netral,netral,netral
1874,Dia dikenal sebagai orang yang dingin hati dalam bekerja.,1.0,dingin hati,netral,tidak berperasaan,netral,netral,netral
1875,Kabar itu membuat suasana menjadi dingin seketika.,1.0,dingin suasana,netral,tidak nyaman,netral,netral,netral
1876,Tim itu berhasil bangkit dari keterpurukan yang dalam.,1.0,bangkit dari keterpurukan,netral,pulih,netral,netral,netral
1877,Dia sering jadi sorotan karena prestasinya.,1.0,jadi sorotan,netral,diperhatikan,netral,netral,netral
1878,Masalah itu menjadi beban pikiran yang berat.,1.0,beban pikiran,netral,stres,netral,sedih,netral
1879,Mereka harus menempuh jalan panjang untuk sukses.,1.0,jalan panjang,netral,proses lama,netral,netral,netral
1880,Rudi tetap kuat pendirian meskipun ditekan.,1.0,kuat pendirian,netral,teguh,netral,netral,netral
1881,Dia mulai jatuh bangun dalam menjalani usaha.,1.0,jatuh bangun,netral,penuh kesulitan,netral,netral,netral
1882,Keputusan itu diambil dengan setengah hati.,1.0,setengah hati,netral,tidak sungguh,netral,netral,netral
1883,Banyak orang mulai buka suara tentang isu tersebut.,1.0,buka suara,netral,berbicara,netral,netral,netral
1884,Dia tidak ingin kehilangan arah dalam hidupnya.,1.0,kehilangan arah,netral,bingung,netral,netral,netral
1885,Perjalanan itu membuka mata banyak orang.,1.0,membuka mata,netral,menyadarkan,netral,netral,netral
1886,Andi tetap rendah hati meskipun sukses besar.,1.0,rendah hati,netral,tidak sombong,netral,netral,netral
1887,"Di tengah tekanan proyek, keputusan itu terasa seperti makan buah simalakama.",1.0,buah simalakama,netral,pilihan sulit,netral,netral,netral
1888,"Tanpa persiapan matang, langkah itu justru membuka kotak pandora.",1.0,kotak pandora,netral,sumber masalah,netral,netral,netral
1889,"Dalam rapat mendadak tadi, beberapa orang hanya jadi kambing hitam.",1.0,kambing hitam,netral,disalahkan,netral,netral,netral
1890,"Sejak awal, rencana tersebut sudah seperti menegakkan benang basah.",1.0,menegakkan benang basah,netral,sulit dilakukan,netral,netral,netral
1891,"Karena terlalu percaya, akhirnya dia jatuh dalam perangkap yang sama.",1.0,jatuh dalam perangkap,netral,tertipu,netral,netral,netral
1892,"Di balik senyumnya, ternyata ada udang di balik batu.",1.0,udang di balik batu,netral,maksud tersembunyi,netral,netral,netral
1893,"Tanpa disadari, keputusan itu menjadi bumerang bagi dirinya sendiri.",1.0,bumerang,netral,berbalik merugikan,netral,netral,netral
1894,"Dalam situasi genting, keputusan cepat sering jadi pisau bermata dua.",1.0,pisau bermata dua,netral,dua dampak,netral,netral,netral
1895,"Di antara semua kandidat, dia hanya dianggap pelengkap penderita.",1.0,pelengkap penderita,netral,tidak penting,netral,netral,netral
1896,"Sejak masalah itu muncul, suasana kantor seperti bara dalam sekam.",1.0,bara dalam sekam,netral,konflik tersembunyi,netral,netral,netral
1897,"Tanpa dukungan penuh, proyek itu seperti layar terkembang tanpa angin.",1.0,layar tanpa angin,netral,tidak berjalan,netral,netral,netral
1898,"Dalam diam, dia menyusun langkah seperti musuh dalam selimut.",1.0,musuh dalam selimut,netral,pengkhianat,netral,netral,netral
1899,"Ketika kesempatan datang, dia langsung naik daun di perusahaan.",1.0,naik daun,netral,terkenal,netral,netral,netral
1900,"Tanpa rencana jelas, usaha itu hanya buang garam ke laut.",1.0,buang garam ke laut,netral,sia-sia,netral,netral,netral
1901,"Dalam kondisi sulit, bantuan itu seperti hujan di musim kemarau.",1.0,hujan di musim kemarau,netral,sangat membantu,netral,netral,netral
1902,"Sejak kecil, hidupnya sudah seperti roda yang terus berputar.",1.0,roda berputar,netral,naik turun,netral,netral,netral
1903,"Karena kesalahan kecil, masalah itu berkembang jadi bola salju.",1.0,bola salju,netral,makin besar,netral,netral,netral
1904,"Di tengah persaingan ketat, dia tampil sebagai kuda hitam.",1.0,kuda hitam,netral,tak terduga,netral,netral,netral
1905,"Tanpa bukti kuat, tuduhan itu hanya angin lalu.",1.0,angin lalu,netral,tidak berpengaruh,netral,netral,netral
1906,"Dalam konflik itu, dia memilih jadi penengah yang bijak.",1.0,penengah,netral,mediator,netral,netral,netral
1907,"Karena tekanan terus-menerus, emosinya seperti bom waktu.",1.0,bom waktu,netral,bisa meledak,netral,netral,netral
1908,"Di balik keputusan itu, ada tangan-tangan tak terlihat.",1.0,tangan tak terlihat,netral,pihak tersembunyi,netral,netral,netral
1909,"Tanpa pengalaman cukup, dia seperti anak kemarin sore.",1.0,anak kemarin sore,netral,tidak berpengalaman,netral,netral,netral
1910,"Dalam perdebatan panjang, argumen itu jadi senjata makan tuan.",1.0,senjata makan tuan,netral,merugikan diri,netral,netral,netral
1911,"Sejak awal, masalah itu sudah seperti benang kusut.",1.0,benang kusut,netral,rumit,netral,netral,netral
1912,"Tanpa arah jelas, hidupnya seperti kapal oleng.",1.0,kapal oleng,netral,tidak stabil,netral,netral,netral
1913,"Dalam situasi itu, dia hanya jadi penonton setia.",1.0,penonton setia,netral,tidak terlibat,netral,netral,netral
1914,"Karena keputusan itu, dia harus menelan pil pahit sendirian.",1.0,pil pahit,netral,kenyataan pahit,netral,netral,netral
1915,"Di tengah keramaian, dia merasa seperti ikan keluar dari air.",1.0,ikan keluar dari air,netral,tidak nyaman,netral,netral,netral
1916,"Tanpa dukungan, perjuangan itu seperti mendaki gunung terjal.",1.0,gunung terjal,netral,sangat sulit,netral,netral,netral
1917,"Dalam proyek itu, dia hanya jadi roda penggerak kecil.",1.0,roda penggerak,netral,bagian kecil,netral,netral,netral
1918,"Karena terlalu ambisius, langkahnya seperti api makan sekam.",1.0,api makan sekam,netral,merugikan diam-diam,netral,netral,netral
1919,"Di balik kesuksesan itu, ada jalan berliku yang panjang.",1.0,jalan berliku,netral,penuh rintangan,netral,netral,netral
1920,"Tanpa kontrol diri, emosi itu seperti badai tak terkendali.",1.0,badai tak terkendali,netral,emosi besar,netral,marah,netral
1921,"Dalam kondisi itu, dia menjadi tumpuan harapan keluarga.",1.0,tumpuan harapan,netral,andalan,netral,percaya,netral
1922,"Karena tekanan pekerjaan, hidupnya seperti dikejar bayang-bayang.",1.0,dikejar bayang-bayang,netral,ketakutan,netral,netral,takut
1923,"Di tengah persaingan, dia tetap berdiri tegak seperti karang.",1.0,seperti karang,netral,kuat,netral,netral,netral
1924,"Tanpa persiapan, ujian itu terasa seperti mimpi buruk.",1.0,mimpi buruk,netral,sangat buruk,netral,netral,netral
1925,"Dalam kondisi sulit, bantuan kecil terasa seperti setetes air di gurun.",1.0,air di gurun,netral,sangat berarti,netral,netral,netral
1926,"Karena terlalu percaya, dia seperti berjalan di atas tali.",1.0,berjalan di atas tali,netral,berisiko,netral,takut,netral
1927,"Di tengah masalah, dia mencoba melihat cahaya di ujung terowongan.",1.0,ujung terowongan,netral,harapan,netral,netral,percaya
1928,"Tanpa dukungan moral, perjuangan itu seperti bertarung sendirian.",1.0,bertarung sendirian,netral,sendiri,netral,netral,netral
1929,"Dalam konflik itu, dia hanya jadi pion kecil.",1.0,pion kecil,netral,tidak penting,netral,netral,netral
1930,"Karena kesalahan itu, reputasinya jatuh seperti daun kering.",1.0,daun kering,netral,mudah jatuh,netral,netral,netral
1931,"Di balik keputusan besar, ada taruhan masa depan.",1.0,taruhan masa depan,netral,risiko besar,netral,netral,netral
1932,"Tanpa arah, langkahnya seperti tersesat di hutan belantara.",1.0,hutan belantara,netral,bingung,netral,netral,netral
1933,"Dalam tekanan tinggi, dia tetap dingin seperti es.",1.0,dingin seperti es,netral,tenang,netral,netral,netral
1934,"Karena konflik lama, hubungan itu seperti retak di kaca.",1.0,retak di kaca,netral,rusak,netral,netral,netral
1935,"Di tengah persaingan, dia seperti bunga di antara duri.",1.0,bunga di antara duri,netral,menonjol,netral,netral,netral
1936,"Tanpa kejelasan, situasi itu seperti kabut tebal.",1.0,kabut tebal,netral,tidak jelas,netral,netral,senang
1937,"Dalam masalah itu, dia mencoba mencari jalan di tengah gelap.",1.0,tengah gelap,netral,sulit,netral,takut,netral
1938,"Karena tekanan, pikirannya seperti benang putus.",1.0,benang putus,netral,tidak fokus,netral,netral,netral
1939,"Di tengah kesulitan, dia tetap jadi lilin kecil yang memberi harapan.",1.0,lilin kecil,netral,harapan,netral,netral,netral
1940,"Tanpa pengalaman, langkahnya seperti bayi belajar berjalan.",1.0,bayi belajar berjalan,netral,belum ahli,netral,senang,netral
1941,"Dalam konflik itu, dia menjadi jembatan penghubung.",1.0,jembatan penghubung,netral,penengah,netral,netral,netral
1942,"Karena tekanan, hidupnya seperti terjebak dalam lingkaran setan.",1.0,lingkaran setan,netral,masalah berulang,netral,netral,netral
1943,"Di tengah keraguan, dia tetap melangkah seperti angin.",1.0,seperti angin,netral,cepat,netral,netral,netral
1944,"Tanpa arah, keputusan itu seperti tembakan kosong.",1.0,tembakan kosong,netral,tidak berarti,netral,netral,netral
1945,"Dalam situasi sulit, dia jadi cahaya kecil di kegelapan.",1.0,cahaya kecil,netral,harapan,netral,netral,netral
1946,"Karena kesalahan itu, dia seperti jatuh ke jurang dalam.",1.0,jurang dalam,netral,masalah besar,netral,netral,netral
1947,"Di balik kesuksesan, ada keringat yang tak terlihat.",1.0,keringat tak terlihat,netral,usaha keras,netral,netral,netral
1948,"Tanpa persiapan, langkah itu seperti melompat tanpa melihat.",1.0,melompat tanpa melihat,netral,ceroboh,netral,sedih,netral
1949,"Dalam kondisi itu, dia menjadi penentu arah tim.",1.0,penentu arah,netral,pemimpin,netral,netral,netral
1950,"Karena tekanan, emosinya seperti gelombang pasang.",1.0,gelombang pasang,netral,naik turun,netral,netral,netral
1951,"Di tengah masalah, dia mencoba jadi jangkar yang kuat.",1.0,jangkar,netral,penahan,netral,netral,netral
1952,"Tanpa kontrol, situasi itu seperti api liar.",1.0,api liar,netral,tak terkendali,netral,netral,netral
1953,"Dalam konflik itu, dia hanya jadi bayangan.",1.0,jadi bayangan,netral,tidak terlihat,netral,netral,netral
1954,"Karena kesalahan kecil, masalah itu seperti retakan besar.",1.0,retakan besar,netral,berkembang,netral,netral,netral
1955,"Di tengah tekanan, dia tetap jadi batu yang kokoh.",1.0,batu kokoh,netral,kuat,netral,netral,netral
1956,"Tanpa arah, hidupnya seperti daun tertiup angin.",1.0,daun tertiup angin,netral,tidak stabil,netral,netral,netral
1957,"Dalam masalah itu, dia mencoba jadi penyeimbang.",1.0,penyeimbang,netral,penengah,netral,netral,netral
1958,"Karena tekanan, pikirannya seperti kabur tertutup awan.",1.0,tertutup awan,netral,tidak jelas,netral,netral,netral
1959,"Di tengah konflik, dia tetap berdiri seperti tembok.",1.0,seperti tembok,netral,kuat,netral,netral,netral
1960,"Tanpa rencana, langkah itu seperti berjalan di pasir hisap.",1.0,pasir hisap,netral,berbahaya,netral,netral,netral
1961,"Dalam kondisi sulit, dia menjadi harapan terakhir.",1.0,harapan terakhir,netral,satu-satunya,netral,netral,netral
1962,"Karena tekanan, emosinya seperti api dalam dada.",1.0,api dalam dada,netral,amarah,netral,marah,netral
1963,"Di tengah masalah, dia mencoba jadi titik terang.",1.0,titik terang,netral,solusi,netral,netral,netral
1964,"Tanpa arah, hidupnya seperti kapal karam.",1.0,kapal karam,netral,hancur,netral,netral,sedih
1965,"Dalam konflik itu, dia menjadi penentu hasil akhir.",1.0,penentu hasil,netral,menentukan,netral,netral,netral
1966,"Karena kesalahan itu, dia seperti jatuh bebas.",1.0,jatuh bebas,netral,kehilangan kontrol,netral,netral,netral
1967,"Di tengah tekanan, dia tetap seperti baja.",1.0,seperti baja,netral,kuat,netral,netral,netral
1968,"Tanpa rencana, keputusan itu seperti langkah gelap.",1.0,langkah gelap,netral,berisiko,netral,netral,netral
1969,"Dalam situasi itu, dia menjadi penopang utama.",1.0,penopang utama,netral,tulang punggung,netral,netral,netral
1970,"Karena tekanan, pikirannya seperti penuh kabut.",1.0,penuh kabut,netral,bingung,netral,netral,netral
1971,"Di tengah masalah, dia tetap jadi arah penunjuk.",1.0,arah penunjuk,netral,panduan,netral,netral,netral
1972,"Tanpa kontrol, emosi itu seperti badai besar.",1.0,badai besar,netral,emosi kuat,netral,terkejut,netral
1973,"Dalam konflik itu, dia hanya jadi suara kecil.",1.0,suara kecil,netral,tidak berpengaruh,netral,netral,netral
1974,"Karena kesalahan itu, masalah seperti membesar tanpa kendali.",1.0,membesar tanpa kendali,netral,berkembang,netral,netral,netral
1975,"Di tengah tekanan, dia tetap seperti pilar kokoh.",1.0,pilar kokoh,netral,kuat,netral,netral,netral
1976,"Tanpa arah, hidupnya seperti ombak tanpa tujuan.",1.0,ombak tanpa tujuan,netral,tidak jelas,netral,netral,netral
1977,"Dalam situasi itu, dia mencoba jadi jalan keluar.",1.0,jalan keluar,netral,solusi,netral,netral,netral
1978,"Karena tekanan, emosinya seperti api yang siap meledak.",1.0,api siap meledak,netral,marah,netral,marah,netral
1979,"Di tengah masalah, dia tetap jadi pegangan.",1.0,jadi pegangan,netral,andalan,netral,netral,netral
1980,"Tanpa rencana, langkah itu seperti tersesat arah.",1.0,tersesat arah,netral,bingung,netral,netral,netral
1981,"Dalam konflik itu, dia hanya jadi bagian kecil.",1.0,bagian kecil,netral,tidak penting,netral,netral,netral
1982,"Karena kesalahan itu, situasi seperti jatuh ke titik terendah.",1.0,titik terendah,netral,kondisi buruk,netral,netral,netral
1983,"Di tengah tekanan, dia tetap jadi fondasi kuat.",1.0,fondasi kuat,netral,dasar,netral,netral,netral
1984,"Tanpa arah, hidupnya seperti bayangan yang hilang.",1.0,bayangan hilang,netral,tidak jelas,netral,netral,netral
1985,"Dalam situasi itu, dia menjadi penentu masa depan.",1.0,penentu masa depan,netral,menentukan,netral,netral,netral
1986,Rencana itu hanya jadi angan-angan.,1.0,angan-angan,netral,harapan kosong,netral,netral,netral
1987,Dia hidup sebatang kara sejak kecil.,1.0,sebatang kara,netral,sendirian,netral,netral,marah
1988,Masalah itu jadi batu sandungan.,1.0,batu sandungan,netral,hambatan,netral,netral,netral
1989,Dia mulai buka jalan baru.,1.0,buka jalan,netral,memulai peluang,netral,netral,netral
1990,Ucapannya seperti duri tajam.,1.0,duri tajam,netral,menyakitkan,netral,netral,sedih
1991,Dia jadi bulan-bulanan teman-temannya.,1.0,bulan-bulanan,netral,sasaran ejekan,netral,netral,netral
1992,Keputusan itu setengah matang.,1.0,setengah matang,netral,belum siap,netral,netral,netral
1993,Dia punya hati baja menghadapi masalah.,1.0,hati baja,netral,kuat,netral,netral,senang
1994,Sikapnya sering berubah arah.,1.0,berubah arah,netral,tidak konsisten,netral,netral,netral
1995,Dia jatuh dalam jebakan sendiri.,1.0,jebakan sendiri,netral,kesalahan sendiri,netral,netral,netral
1996,Mereka hidup di garis tipis.,1.0,garis tipis,netral,kondisi rentan,netral,netral,netral
1997,Dia seperti bayangan tak terlihat.,1.0,bayangan tak terlihat,netral,diabaikan,netral,netral,netral
1998,Masalah itu jadi benang merah.,1.0,benang merah,netral,inti masalah,netral,marah,netral
1999,Dia bekerja tanpa kenal lelah.,1.0,tanpa kenal lelah,netral,sangat rajin,netral,netral,netral
2000,Hidupnya penuh liku tajam.,1.0,liku tajam,netral,banyak rintangan,netral,netral,netral
2001,Dia punya tekad sekeras batu.,1.0,sekeras batu,netral,kuat,netral,netral,netral
2002,Semua itu hanya cerita lama.,1.0,cerita lama,netral,masa lalu,netral,netral,netral
2003,Dia jadi korban keadaan.,1.0,korban keadaan,netral,tidak berdaya,netral,netral,netral
2004,Mereka hidup dalam bayang-bayang masa lalu.,1.0,bayang-bayang masa lalu,netral,trauma,netral,netral,netral
2005,Masalah itu makin meruncing.,1.0,meruncing,netral,memburuk,netral,netral,netral
2006,Dia mulai bangun mimpi besar.,1.0,mimpi besar,netral,ambisi,netral,marah,netral
2007,Hidupnya seperti jalan buntu.,1.0,jalan buntu,netral,tanpa solusi,netral,netral,netral
2008,Dia jadi titik pusat perhatian.,1.0,titik pusat,netral,perhatian,netral,netral,netral
2009,Semua itu hanya ilusi semata.,1.0,ilusi semata,netral,tidak nyata,netral,netral,netral
2010,Dia menghadapi badai hidup.,1.0,badai hidup,netral,cobaan,netral,netral,percaya
2011,"Dalam rapat itu, dia hanya jadi kambing hitam atas kesalahan tim.",1.0,kambing hitam,netral,pihak yang disalahkan,netral,netral,netral
2012,"Tanpa pengalaman, dia seperti anak kemarin sore di bidang itu.",1.0,anak kemarin sore,netral,tidak berpengalaman,netral,netral,netral
2013,Sikapnya yang berubah-ubah membuatnya dianggap air di daun talas.,1.0,air di daun talas,netral,tidak konsisten,netral,netral,marah
2014,Dia tetap tenang meski diam-diam seperti api dalam sekam.,1.0,api dalam sekam,netral,bahaya tersembunyi,netral,netral,senang
2015,"Dalam konflik itu, dia justru menjadi duri dalam daging bagi timnya.",1.0,duri dalam daging,netral,pengganggu,netral,netral,netral
2016,Banyak orang menganggapnya hanya katak dalam tempurung.,1.0,katak dalam tempurung,netral,wawasan sempit,netral,netral,marah
2017,"Dalam kondisi itu, dia merasa seperti ayam kehilangan induk.",1.0,ayam kehilangan induk,netral,kebingungan,netral,netral,takut
2018,Dia terlalu percaya hingga akhirnya seperti tikus jatuh di lumbung padi.,1.0,tikus jatuh di lumbung padi,netral,sangat beruntung,netral,netral,netral
2019,Keputusan itu ibarat makan buah simalakama bagi semua pihak.,1.0,buah simalakama,netral,pilihan sulit,netral,senang,netral
2020,"Dalam organisasi itu, dia hanya dianggap sebagai benalu.",1.0,benalu,netral,merugikan,netral,netral,netral
2021,Sikapnya yang keras membuatnya dikenal sebagai kepala batu.,1.0,kepala batu,netral,keras kepala,netral,marah,netral
2022,"Tanpa disadari, dia menjadi serigala berbulu domba di lingkungan itu.",1.0,serigala berbulu domba,netral,pura-pura baik,netral,netral,netral
2023,"Dalam masalah itu, dia memilih cuci tangan tanpa tanggung jawab.",1.0,cuci tangan,netral,lepas tanggung jawab,netral,netral,netral
2024,Dia merasa seperti pungguk merindukan bulan dengan harapannya.,1.0,pungguk merindukan bulan,netral,harapan mustahil,netral,netral,netral
2025,Banyak orang menilai sikapnya seperti air tenang menghanyutkan.,1.0,air tenang menghanyutkan,netral,berbahaya diam-diam,netral,marah,netral
2026,"Dalam kasus itu, dia hanya menjadi buah bibir masyarakat.",1.0,buah bibir,netral,bahan pembicaraan,netral,netral,netral
2027,Dia akhirnya harus gigit jari setelah gagal mendapatkan kesempatan itu.,1.0,gigit jari,netral,kecewa,netral,netral,netral
2028,"Dalam situasi sulit, dia tetap menjadi tulang punggung keluarga.",1.0,tulang punggung,netral,penopang utama,netral,netral,netral
2029,"Tanpa bantuan, dia merasa seperti kapal tanpa nahkoda.",1.0,kapal tanpa nahkoda,netral,tanpa arah,netral,netral,sedih
2030,"Dalam perdebatan itu, dia hanya angkat bahu tanpa komentar.",1.0,angkat bahu,netral,tidak peduli,netral,netral,netral
2031,Dia akhirnya angkat tangan setelah semua usaha gagal.,1.0,angkat tangan,netral,menyerah,netral,netral,netral
2032,Banyak orang melihatnya sebagai kuda hitam dalam kompetisi itu.,1.0,kuda hitam,netral,tak terduga,netral,netral,netral
2033,"Dalam konflik itu, dia menjadi tangan kanan pemimpin.",1.0,tangan kanan,netral,kepercayaan,netral,netral,sedih
2034,"Tanpa bukti jelas, dia hanya jadi korban fitnah yang tidak berdasar.",1.0,korban fitnah,netral,difitnah,netral,sedih,netral
2035,Sikapnya membuatnya dianggap buaya darat oleh teman-temannya.,1.0,buaya darat,netral,tidak setia,netral,netral,takut
2036,"Dalam situasi itu, dia hanya jadi penonton tanpa peran penting.",1.0,jadi penonton,netral,tidak terlibat,netral,netral,netral
2037,Masalah itu membuatnya merasa seperti telur di ujung tanduk.,1.0,telur di ujung tanduk,netral,kondisi genting,netral,sedih,senang
2038,"Dalam organisasi itu, dia dikenal sebagai kutu buku.",1.0,kutu buku,netral,suka membaca,netral,netral,netral
2039,"Dalam masalah itu, dia menjadi kaki tangan pelaku utama.",1.0,kaki tangan,netral,bawahan,netral,netral,netral
2040,"Tanpa disadari, dia menjadi raja kecil di lingkungannya.",1.0,raja kecil,netral,berkuasa,netral,netral,netral
2041,"Dalam kondisi itu, dia merasa seperti harimau kehilangan taring.",1.0,harimau kehilangan taring,netral,kehilangan kekuatan,netral,netral,netral
2042,Masalah itu membuatnya harus makan hati dalam diam.,1.0,makan hati,netral,sakit hati,netral,netral,netral
2043,"Dalam situasi sulit, dia tetap pasang badan untuk temannya.",1.0,pasang badan,netral,membela,netral,netral,netral
2044,"Dalam kasus itu, dia mencoba ambil hati semua pihak.",1.0,ambil hati,netral,menyenangkan,netral,netral,netral
2045,"Tanpa arah jelas, hidupnya seperti burung dalam sangkar.",1.0,burung dalam sangkar,netral,tidak bebas,netral,netral,netral
2046,"Dalam situasi itu, dia menjadi batu loncatan bagi orang lain.",1.0,batu loncatan,netral,sarana,netral,netral,netral
2047,Dia bekerja keras hingga harus banting tulang setiap hari.,1.0,banting tulang,netral,kerja keras,netral,netral,netral
